PRID;HONU;DIAH;DIAP;HODE;HBDE;HBDI;SCMO;SCDR;STGR;STSI;STTY;MINA;MINS;SDVC;SDCO;SDME;SDFI;SDVF;SDTO;STPC;CLPC;PSCL;BULK;MCT1;TEN2;MCT2;TEN3;MCT3;TEN4;MCT4;MCT5;HYDC;INFR;PHAQ;PHKC;ELCO;SONA;SOCA;SOMG;SOLK;SOCL;SSO4;SCO3;HCO3;EXCA;EXMG;EXNA;EXCK;EXAL;EXAC;CECS;TCEQ;GYPS;TOTC;TOTN;P2O5;PRET;FEDE;FEPE;ALDE;ALPE;CLAY
SN002/KAL;1;;;;13;C;10YR4/1;;;;M;;;;;;;;86;8;3;S;;;;;;;;;;;;3,609999895;3,410000086;571,1099854;1,690000057;;0,379999995;0,039999999;2,25;0,779999971;;;;0,400000006;0,50999999;0,01;;;2,799999952;;;;;;;;;;;
SN002/KAL;2;;;;24;G;10YR7/6;;;;M;;;;;;;;90;7;1;S;;;;;;;;;;;;3,769999981;3,630000114;232,3200073;0,720000029;;0,059999999;0,01;2;0,25;;;;0,25;0,379999995;0,01;;;2,599999905;;;;;;;;;;;
SN002/KAL;3;;;;36;C;10YR7/3;;;;M;;;;;;;;85;7;4;LS;;;;;;;;;;;;3,670000076;3,369999886;592,4199829;2,029999971;;0,310000002;0,059999999;2,5;0,779999971;;;;0,790000021;0,529999971;0,01;;;3,200000048;;;;;;;;;;;
SN002/KAL;4;;;;110;;10YR5/1;;;;R;;;;;;;;43;37;20;L;;;;;;;;;;;;3,059999943;2,849999905;29,04000092;3,430000067;0,5;1,679999948;0,079999998;8,75;7,510000229;;;0,680000007;3,720000029;4,53000021;0,07;;;13,60000038;;;;;;;;;;;
SN008C/A001;1;;;Ap;6;;10YR4/3;;;;S;;;;;;;;;;;;;;;;;;;;;;;8,699999809;;;;;;;;;;;;;;;;;;;;2,299999952;0,219999999;6;;;;;;
SN008C/A001;2;;;A1;17;;10YR3/4;;;;M;;;;37;;52;;90;4;6;S;;;;;;;;;;;;7,699999809;;;;;;;;;;;2,549999952;1,139999986;0,01;0,07;;;316;;;1,800000072;0,179999992;1;;;;;;
SN008C/A001;3;;;A2;59;;10YR3/4;;;;M;;;;34;;55;;88;4;7;S;;;;;;;;;;;;7,5;;;;;;;;;;;2,50999999;1,330000043;0,02;0,059999999;;;4,170000076;;;1,399999976;0,149999991;1;;;;;;
SN008C/A001;4;;;B;90;;10YR3/3;;;;M;;;;33;;55;;88;4;8;S;;;;;;;;;;;;7,699999809;;;;;;;;;;;3,089999914;1,480000019;0,029999999;0,059999999;;;44;;;1,199999928;0,149999991;1;;;;;;
SN008C/A001;5;;;C1;103;;10YR4/3;;;;M;;;;;;;;;;;;;;;;;;;;;;;7,900000095;;;;;;;;;;;3,059999943;1,480000019;0,01;0,079999998;;;4,130000114;;;;;;;;;;;
SN008C/A001;6;;;C2;135;;10YR5/3;;;;M;;;;;;;;;;;;;;;;;;;;;;;9,199999809;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/A004;1;;;Ap;5;;10YR4/3;;;;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,800000072;0,230000004;3;;;;;;
SN008C/A004;2;;;A1;20;;10YR3/2;;;;S;;;;25;;57;;83;10;7;LS;;;;;;;;;;;;7,900000095;;;;;;;;;;;4,090000153;0,810000002;0,01;0,270000011;;;4,940000057;;;2,799999952;0,25;1;;;;;;
SN008C/A004;3;;;A2;25;;10YR3/2;;;;S;;;;;;;;;;;;;;;;;;;;;;;7,699999809;;;;;;;;;;;6,980000019;0,589999974;0,01;0,079999998;;;6,389999866;;;3,099999905;0,230000004;1;;;;;;
SN008C/A004;4;;;B1;54;;10YR3/1;;;;B;;;;30;;52;;82;8;11;LS;;;;;;;;;;;;7,800000191;;;;;;;;;;;14,96000004;0,610000014;0,07;0,059999999;;;9,159999847;;;3,199999809;0,280000001;3;;;;;;
SN008C/A004;5;;;B2;80;;10YR3/1;;;;B;;;;30;;52;;82;7;12;LS;;;;;;;;;;;;8,5;;;;;;;;;;;19,51000023;0,610000014;0,100000001;0,050000001;;;10,14000034;;;;;;;;;;;
SN008C/A004;6;;;C;135;;10YR6/2;;;;B;;;;;;;;;;;;;;;;;;;;;;;8,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/A013;1;;;Ap;6;;10YR4/3;;;;S;;;;;;;;;;;;;;;;;;;;;;;7,300000191;6,199999809;;;;;;;;;;;;;;;;;;;2;3,400000095;6;;;;;;
SN008C/A013;2;;;A1;28;;10YR4/2;;;;M;;;;34;;54;;88;5;6;S;;;;;;;;;;;;6,300000191;4,900000095;;;;;;;;;;1,580000043;0,579999983;0,02;0,039999999;;;2,5;;;1,800000072;0,140000001;1;;;;;;
SN008C/A013;3;;;AB;44;;10YR4/2;;;;M;;;;;;;;;;;;;;;;;;;;;;;5,800000191;4,099999905;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/A013;4;;;B1;55;;10YR3/3;;;;M;;;;;;;;;;;;;;;;;;;;;;;6;4,699999809;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/A013;5;;;B2;116;;10YR3/2;;;;M;;;;;;35;54;89;5;8;S;;;;;;;;;;;;5,900000095;4,800000191;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/A013;6;;;C;125;;10YR4/2;;;;M;;;;;;;;;;;;;;;;;;;;;;;6,099999905;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B007;1;;;Ap;4;;10YR4/3;;;;S;;;;;;;;;;;;;;;;;;;;;;;8,600000381;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B007;2;;;A1;17;;10YR3/3;;;;S;;;;28;;58;;86;7;7;LS;;;;;;;;;;;;8,300000191;;;;;;;;;;;16,07999992;0,579999983;0,029999999;0,090000004;;;6,289999962;;;3,099999905;0,349999994;;;;;;;
SN008C/B007;3;;;A2;54;;10YR3/2;;;;S;;;;29;;55;;84;8;10;LS;;;;;;;;;;;;8,899999619;;;;;;;;;;;19,31999969;0,600000024;0,02;0,07;;;7,630000114;;;3,799999952;0,370000005;;;;;;;
SN008C/B007;4;;;Bk;110;;10YR5/3;;;;S;;;;22;;49;;71;9;18;SL;;;;;;;;;;;;8,699999809;;;;;;;;;;;22,25;0,639999986;0,02;0,029999999;;;5,949999809;;;;;;;;;;;
SN008C/B007;5;;;BC;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,199999809;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B007;6;;;Ck;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B012;1;;;;6;A;7.5YR4/6;;;;N;;;;;;;;;;;;;;;;;;;;;;;8;6,300000191;;;;;;;;;;;;;;;;;;;1,5;0,129999995;8;;;;;;
SN008C/B012;2;;;;40;G;7.5YR5/4;;;;M;;;;33;;60;;93;3;4;S;;;;;;;;;;;;5,099999905;4,199999809;;;;;;;;;;0,230000004;0,07;0,01;0,029999999;;;1,399999976;;;1,199999928;0,129999995;4;;;;;;
SN008C/B012;3;;;;70;D;7.5YR4/8;;;;M;;;;32;;62;;94;2;4;S;;;;;;;;;;;;4,900000095;4,199999809;;;;;;;;;;0,079999998;0,02;0,01;0,02;;;1,370000005;;;;;;;;;;;
SN008C/B012;4;;;;150;;7.5YR5/8;;;;M;;;;;;;;;;;;;;;;;;;;;;;4,800000191;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B014;1;;;A;26;;10YR4/4;;;;M;;;;32;;58;;90;5;5;S;;;;;;;;;;;;6,699999809;5,599999905;;;;;;;;;;1,110000014;0,529999971;0,02;0,079999998;;;2,349999905;;;1,5;0,170000017;2;;;;;;
SN008C/B014;2;;;(B);103;;10YR3/3;;;;M;;;;31;;56;;90;4;6;S;;;;;;;;;;;;6,5;5;;;;;;;;;;1,350000024;0,850000024;0,01;0,029999999;;;2,710000038;;;;;;;;;;;
SN008C/B014;3;;;C;150;;7.5YR4/6;;;;M;;;;;;;;;;;;;;;;;;;;;;;6,300000191;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B13;1;;;Ap;4;;10YR4/4;;;;N;;;;;;;;;;;;;;;;;;;;;;;7,400000095;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B13;2;;;A;34;;10YR4/6;;;;M;;;;;;;;;;;;;;;;;;;;;;;7,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B13;3;;;;67;;10YR5/6;;;;M;;;;;;;;;;;;;;;;;;;;;;;6,900000095;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B13;4;;;;100;;10YR5/7;;;;M;;;;;;;;;;;;;;;;;;;;;;;5,099999905;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN008C/B13;5;;;;150;;10YR6/8;;;;M;;;;;;;;;;;;;;;;;;;;;;;5,199999809;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN102IAO;1;;;A;2;A;7.5YR5/3;10YR6/3;N;;M;V;M;;12;7;17;;35;33;32;CL;;;;;;;;;;;;5,869999886;;0,085000001;;;;;;;;;4,909999847;2,829999924;0,330000013;0,75;;;8,819999695;;;8,300000191;0,829999983;;;;;;;
SN102IAO;2;;;AE;55;C;7.5YR4/4;10YR4.5/4;W;M;G;V;M;;9;5;14;;28;30;41;C;;;;;;;;;;;;5,53000021;;0,128000006;;;;;;;;;7,019999981;2,950000048;0,439999998;0,129999995;;;10,53999996;;;7,400000095;0,649999976;;;;;;;
SN102IAO;3;;PL;CE;85;C;5YR4/4;10YR4/3;N;;N;A;M;;11;5;13;;29;29;41;C;;;;;;;;;;;;6,579999924;;0,112000003;;;;;;;;;;;;;;;;;;;;;;;;;;
SN102IAO;4;;PL;C;145;G;10YR6/6;10YR7/6;S;M;A;D;C;;26;6;7;;39;23;37;CL;;;;;;;;;;;;6,860000134;;0,208000004;;;;;;;;;;;;;;;;;;;;;;;;;;
SN103IAO;1;FA;;AC;100;;5YR3/4;5YR4/5;N;;N;D;C;;29;12;12;;53;34;13;SL;;;;;;;;;;;;6,599999905;;0,109999999;;;;;;;;;10,73999977;2,599999905;0,310000002;0,460000008;;;14,10999966;;;18,5;1,610000014;;;;;;;
SN105IAO;1;OC;;Ah1;1;A;10YR2/1;10YR4/1;W;M;G;C;F;;65;15;3;;83;10;7;LS;;;;;;;;;;;;7,599999905;;0,504999995;;;;;;;;;;4,110000134;0,170000002;0,720000029;;;14,80000019;138;;30,39999962;2,5;;;;;;;
SN105IAO;2;OC;;Ah2;12;A;10YR2/1;10YR4/1;W;M;G;F;F;;57;20;4;;81;10;9;LS;;;;;;;;;;;;8,130000114;;0,186000004;;;;;;;;;;3,410000086;0,159999996;0,280000001;;;10;131;;15;1,460000038;;;;;;;
SN105IAO;3;;GL;Cg1;30;A;10YR5/3;10YR5/2;N;;N;M;F;;75;19;2;;96;3;1;S;;;;;;;;;;;;8,43999958;;0,128999993;;;;;;;;;;1,5;0,119999997;0,01;;;1,799999952;48;;1,700000048;0,200000003;;;;;;;
SN105IAO;4;;GL;Cg2;70;C;10YR6/3;10YR6/2;N;;N;A;C;;83;14;0;;97;1;1;S;;;;;;;;;;;;8,409999847;;0,114;;;;;;;;;;0,550000012;0,150000006;0,01;;;0,699999988;28;;2,900000095;0,150000006;;;;;;;
SN105IAO;5;;GL;Cg3;154;;10YR6/3;10YR7/3;N;;M;M;C;;70;27;1;;97;2;1;S;;;;;;;;;;;;7,690000057;;0,940999985;;;;;;;;;;;;;;;;;;;;;;;;;;
SN112IAO;1;;VE;A;15;C;10YR5/1;10YR6/1;S;C;R;F;F;;4;3;2;;9;34;57;C;;;;;;;;;;;;7,900000095;;4,929999828;;;;;;;;;;5,769999981;1,330000043;1,059999943;;;19,89999962;357;;11,39999962;1,200000048;;;;;;;
SN112IAO;2;;;B1;30;G;10YR5/1;;M;F;R;V;F;;3;2;1;;6;40;54;C;;;;;;;;;;;;7,800000191;;4,78000021;;;;;;;;;;8,890000343;1,980000019;1,340000033;;;19,89999962;334;;11,80000019;0,829999983;;;;;;;
SN112IAO;3;;;B2;85;C;10YR4/1;;N;;M;;;;17;18;4;;29;20;41;C;;;;;;;;;;;;8,100000381;;6;;;;;;;;;;12,35999966;4,079999924;1,269999981;;;18,70000076;194;;10;0,779999971;;;;;;;
SN113IAO;1;OC;;A;35;C;2.5Y3/2;2.5Y3/2;;;G;V;F;;5;2;2;;9;63;28;SICL;;;;;;;;;;;;7,699999809;;0,219999999;;;;;;;;;;4,409999847;0,109999999;0,119999997;;;27,79999924;370;;32,59999847;1,600000024;;;;;;;
SN113IAO;2;CB;;Bw1;65;C;2,5Y3/2;2,5Y5/2;;;A;A;C;;19;5;7;;31;44;25;L;;;;;;;;;;;;8,100000381;;0,230000004;;;;;;;;;;2,630000114;0,109999999;0,090000004;;;10,69999981;517;;17,79999924;0,469999999;;;;;;;
SN113IAO;3;CB;GL;Bw2;75;C;2.5Y6/2;2.5Y7/2;;;S;V;F;;5;5;9;;18;52;29;SICL;;;;;;;;;;;;8;;0,219999999;;;;;;;;;;;;;;;;;;;;;;;;;;
SN113IAO;4;;GL;C1;115;C;2.5Y8/3;2.5Y5/2;;;A;F;F;;8;3;5;;17;54;29;SICL;;;;;;;;;;;;8,300000191;;0,230000004;;;;;;;;;;;;;;;;;;;;;;;;;;
SN113IAO;5;;GL;C2;170;;2.5Y7/3;2.5Y7/2;;;A;N;;;2;2;7;;11;67;22;SIL;;;;;;;;;;;;8;;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;
SN118IAO;1;;;A;15;A;10YR3/1;10YR4/1;W;F;G;F;M;;24;12;6;;41;28;31;CL;;;;;;;;;;;;8;;0,280000001;;;;;;;;;;5,889999866;0,159999996;0,219999999;;;20;203;;19,10000038;1,360000134;;;;;;;
SN118IAO;2;AR;;BC;65;D;2.5YR6/4;2.5YR7/4;S;M;A;M;F;;1;1;1;1;3;33;56;SIC;;;;;;;;;;;;8,399999619;;0,289999992;;;;;;;;;;11,31000042;1,360000014;0,02;;;11;239;;6,599999905;0,230000004;;;;;;;
SN118IAO;3;;GL;BCg;120;;2.5YR5/4;2.5YR6/4;M;M;A;M;C;;1;0;0;0;1;40;59;C;;;;;;;;;;;;8,300000191;;1,309999943;;;;;;;;;;;;;;;;;;;;;;;;;;
SN121IAO;1;OC;FL;A1;45;A;10YR2/2;10YR3/3;W;M;A;C;C;;54;24;6;;85;11;4;LS;;;;;;;;;;;;3,200000048;;1,190000057;;;;;;;;;;5,769999981;1,330000043;1,059999943;2,049999952;;5,579999924;;;30,79999924;2,739999771;;;;;;;
SN121IAO;2;;FL;A2;63;A;10YR7/4;7.5YR5/8;W;F;G;N;;;74;21;1;;96;2;2;S;;;;;;;;;;;;3,299999952;;0,300000012;;;;;;;;;;;;;;;;;;;;;;;;;;
SN121IAO;3;;GL;C1;70;A;10YR2/2;;N;;N;N;;;80;19;3;;99;0;0;S;;;;;;;;;;;;3,900000095;;0,059999999;;;;;;;;;;;;;;;;;;;;;;;;;;
SN121IAO;4;;GL;C2;120;D;10YR6/4;7.5YR5/8;N;;N;N;;;73;24;85;;98;1;1;S;;;;;;;;;;;;3,900000095;;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;
SN121IAO;5;;;C3;145;;10YR4/2;;N;;N;N;;;88;10;1;;98;1;1;S;;;;;;;;;;;;3,900000095;;0,129999995;;;;;;;;;;;;;;;;;;;;;;;;;;
SN204IAO;1;OC;;Ap;20;C;7.5YR4/3;7.5YR6/2;N;;M;;;;55;26;13;;94;2;4;S;;;;;;;;;;;;7;;0,100000001;;;;;;;;;2,029999971;0,409999996;0,100000001;0,07;;;2,609999895;;;1,899999976;0,180000007;;;;;;;
SN204IAO;2;;;B;80;D;7.5YR6/6;7,5YR7/3;N;;M;;;;50;27;17;;93;1;5;S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,399999976;0,119999997;;;;;;;
SN204IAO;3;;;C;140;;7,5YR8/3;7.5YR8/2;N;;M;;;;58;25;11;;94;1;5;S;;;;;;;;;;;;5,900000095;;0,02;;;;;;;;;5,510000229;0,189999998;0,119999997;0,039999999;0,150000006;0,349999994;6,210000038;;;0,600000024;0,119999997;;;;;;;
SN206IAO;1;;;A0;2;A;;7.5YR7/4;N;;M;M;F;;30;25;21;;76;15;9;LS;;;;;;;;;;;;6,699999809;;0,129999995;;;;;;;;;1,409999967;0,680000007;0,379999995;0,529999971;;0,100000001;3,099999905;;;3,200000048;0,330000013;;;;;;;
SN206IAO;2;;;A1;20;C;;7.5YR5/3;N;;M;M;F;;45;21;11;;77;11;12;LS;;;;;;;;;;;;5,300000191;;0,050000001;;;;;;;;;2,140000105;0,600000024;0,189999998;0,02;;0,400000006;3,349999905;;;3,799999952;0,330000013;;;;;;;
SN206IAO;3;;;R;30;;;;;;;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNA006/C001;2;;;A;28;;10YR5/2;;;;S;;;;3;;38;21;62;27;10;SL;;;;;;;;;;;;5,900000095;;;;;;;;;;;0,5;0,200000003;0,150000006;0,449999988;;;7,5;;;2,700000048;0,219999999;;;;;;;
SNA006/C001;3;;;BA;51;;10YR5/3;;;;M;;;;2;;32;22;56;30;13;SL;;;;;;;;;;;;5,5;;;;;;;;;;;0,600000024;0,25999999;0,150000006;0,460000008;;;7,699999809;;;1,399999976;0,109999999;;;;;;;
SNA006/C001;4;;;B1;72;;10YR6/3;;;;M;;;;2;;34;24;60;23;15;SL;;;;;;;;;;;;5,5;;;;;;;;;;;0,699999988;0,310000002;0,200000003;0,460000008;;;7,5;;;;;;;;;;;
SNA006/C001;5;;;B2;116;;10YR5/4;;;;W;;;;3;;38;12;54;17;28;L;;;;;;;;;;;;5,199999809;;;;;;;;;;;1,299999952;0,340000004;0,50999999;0,540000021;;;10,60000038;;;;;;;;;;;
SNA007/C003;1;;;Ap;6;;10YR4/3;;;;M;;;;;;;;;;;;;;;;;;;;;;;7,099999905;;;;;;;;;;;;;;;;;;;;2,700000048;0,199999988;7;;;;;;
SNA007/C003;2;;;A;20;;10YR4/3;;;;M;;;0;1;26;35;15;77;14;8;LS;;;;;;;;;;;;6,300000191;;;;;;;;;;;1;0,25;0,029999999;0,029999999;;;1,600000024;;;3,199999809;0,199999988;9;;;;;;
SNA007/C003;3;;;AC;40;;7.5YR4/4;;;;M;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;1,899999976;0,25;9;;;;;;
SNA007/C003;4;;;C;150;;2.5YR4/6;;;;M;;;0;1;31;30;14;75;11;12;SL;;;;;;;;;;;;6,099999905;;;;;;;;;;;0,449999988;0,029999999;0,02;0,029999999;;;1,600000024;;;;;;;;;;;
SNA009/C003;1;;;Ap;5;;10YR3/3;;;;S;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;3;0,299999982;15;;;;;;
SNA009/C003;2;;;A;23;;10YR3/3;;;;M;;;0;1;26;32;19;78;15;8;LS;;;;;;;;;;;;6,599999905;;;;;;;;;;;0,699999988;0,349999994;;;;;2,200000048;;;1,5;0,149999991;10;;;;;;
SNA009/C003;3;;;AB;43;;10YR4/3;;;;M;;;;;;;;;;;;;;;;;;;;;;;5,900000095;;;;;;;;;;;;;;;;;;;;1,5;0,129999995;;;;;;;
SNA009/C003;4;;;Bt;125;;7.5YR4/6;;;;M;;;0;1;27;30;14;72;11;19;SL;;;;;;;;;;;;6,300000191;;;;;;;;;;;1,299999952;0,540000021;;;;;2,400000095;;;;;;;;;;;
SNA009/C003;5;;;C;157;;7.5YR5/6;;;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNA010/C003;1;;;Ap;9;;10YR3/2;;;;S;;;;;;;;;;;;;;;;;;;;;;;7,099999905;;0,140000001;;;;;;;;;;;;;;;;;;13,89999962;1,199999928;6;;;;;;
SNA010/C003;2;;;A1;25;;10YR3/2;;;;S;;;0;0;4;7;12;23;33;39;SICL;;;;;;;;;;;;7,400000095;;0,119999997;;;;;;;;;46,20000076;2,170000076;0,170000002;0,140000001;;;12,97999954;;;12,10000038;0,920000017;7;;;;;;
SNA010/C003;3;;;A2;43;;10YR4/2;;;;S;;;1;0;4;6;11;22;30;47;C;;;;;;;;;;;;7,5;;0,127000004;;;;;;;;;;;;;;;;;;8,399999619;0,640000045;10;;;;;;
SNA010/C003;4;;;AC;64;;10YR6/1;;;;M;;;;;;;;;;;;;;;;;;;;;;;7,400000095;;0,250999987;;;;;;;;;;;;;;;;;;4;0,310000002;20;;;;;;
SNA010/C003;5;;;C;130;;10YR5/6;;;;M;;;1;1;6;16;25;49;33;15;L;;;;;;;;;;;;7,5;;0,156000003;;;;;;;;;20,79999924;0,50999999;0,100000001;0,039999999;;;3,25999999;;;1,5;0,109999999;10;;;;;;
SNA06/C001;1;;;Ap;6;;10YR5/2;;;;S;;;;3;;42;20;65;24;9;SL;;;;;;;;;;;;6,599999905;;;;;;;;;;;1,399999976;0,400000006;0,560000002;1,700000048;;;5,599999905;;;3,799999952;0,340000033;;;;;;;
SNB013/C003;1;;;;8;A;10YR3/2;;;;G;;;;;;;;;;;;;;;;;;;;;;;5,900000095;;;;;;;;;;;;;;;;;;;;2,799999952;0,239999995;19;;;;;;
SNB013/C003;2;;;;24;G;10YR4/3;;;;M;;;0;1;30;29;18;78;15;7;SL;;;;;;;;;;;;6,199999809;;;;;;;;;;;1,25;0,589999974;0,029999999;0,029999999;;;1,75;;;2,200000048;0,170000002;6;;;;;;
SNB013/C003;3;;;;40;D;10YR5/3;;;;M;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;0,400000006;0,029999999;10;;;;;;
SNB013/C003;4;;;;90;C;10YR5/4;;;;M;;;0;1;29;28;19;76;16;7;SL;;;;;;;;;;;;5,599999905;;;;;;;;;;;0,439999998;0,219999999;0,029999999;0,029999999;;;1,019999981;;;;;;;;;;;
SNB013/C003;5;;;;125;;10YR7/4;;;;M;;;0;1;29;30;20;79;13;7;SL;;;;;;;;;;;;5,599999905;;;;;;;;;;;0,5;0,239999995;;;;;1,200000048;;;;;;;;;;;
SNB101;1;;;;20;;;;;;;;;;;;;;;;;CL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;
SNB101;2;;;;65;;;;;;;;;;;;;;;;;SC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNB101;3;;;;90;;;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SNBAIP017;1;;;;10;G;10YR5/3;;;;A;;;;0;5;11;10;26;56;17;SI;;;;;;;;;;;;4,800000191;;0,029999999;;;;;;;;;0,949999988;0,349999994;0,090000004;0,059999999;;;2,450000048;;;0,086000003;0,0117;0;;;;;;
SNBAIP017;2;;;;40;G;10YR5/2;;;;A;;;;0;4;11;6;22;62;15;SI;;;;;;;;;;;;4,800000191;;0,018999999;;;;;;;;;0,699999988;0,25;0,090000004;0,050000001;;;2,599999905;;;0,068999998;0,01;0;;;;;;
SNBAIP017;3;;;;70;G;10YR4/2;;;;A;;;;0;14;24;6;45;22;31;CL;;;;;;;;;;;;4,599999905;;0,028999999;;;;;;;;;0,119999997;1,379999995;0,07;0,039999999;;;5,650000095;;;;;;;;;;;
